sample	n_Treg	nrel_Treg_T	n_cd45p	nrel_Treg_cd45p	has_mpif
SPECTRUM-OV-007_S1_CD45P_INFRACOLIC_OMENTUM	642	20	3715	17	TRUE
SPECTRUM-OV-007_S1_CD45P_ANTERIOR_ABDOMINAL_WALL	499	18	3242	15	TRUE
SPECTRUM-OV-071_S1_CD45P_LEFT_OVARY	514	20	3502	15	FALSE
SPECTRUM-OV-007_S1_CD45P_BOWEL	346	16	2559	14	TRUE
SPECTRUM-OV-007_S1_CD45P_LEFT_ADNEXA	280	17	2102	13	FALSE
SPECTRUM-OV-045_S1_CD45P_INFRACOLIC_OMENTUM	632	27	4738	13	TRUE
SPECTRUM-OV-002_S1_CD45P_INFRACOLIC_OMENTUM	299	14	2763	11	TRUE
SPECTRUM-OV-002_S1_CD45P_RIGHT_OVARY	273	15	2797	9.8	FALSE
SPECTRUM-OV-077_S1_CD45P_CECUM	502	16	5169	9.7	FALSE
SPECTRUM-OV-008_S1_CD45P_BOWEL	429	12	4502	9.5	TRUE
SPECTRUM-OV-045_S1_CD45P_LEFT_OVARY	479	13	5024	9.5	TRUE
SPECTRUM-OV-007_S1_CD45P_ASCITES	254	11	2744	9.3	FALSE
SPECTRUM-OV-041_S1_CD45P_INFRACOLIC_OMENTUM	421	13	4619	9.1	TRUE
SPECTRUM-OV-008_S1_CD45P_LEFT_PARARENAL_LYMPH_NODE_WITH_COLONIC_MESENTARY	287	14	3228	8.9	FALSE
SPECTRUM-OV-110_S1_CD45P_BOWEL	358	22	4079	8.8	FALSE
SPECTRUM-OV-026_S1_CD45P_LEFT_ADNEXA	357	20	4108	8.7	FALSE
SPECTRUM-OV-068_S1_CD45P_ASCITES	81	13	947	8.6	FALSE
SPECTRUM-OV-071_S1_CD45P_ASCITES	291	11	3520	8.3	FALSE
SPECTRUM-OV-067_S1_CD45P_RIGHT_OVARY_AND_TUBE	277	16	3373	8.2	FALSE
SPECTRUM-OV-110_S1_CD45P_INFRACOLIC_OMENTUM	341	23	4207	8.1	FALSE
SPECTRUM-OV-026_S1_CD45P_RIGHT_OVARY	268	19	3544	7.6	FALSE
SPECTRUM-OV-110_S1_CD45P_PELVIC_PERITONEUM	337	26	4496	7.5	FALSE
SPECTRUM-OV-045_S1_CD45P_RIGHT_OVARY	352	15	4742	7.4	TRUE
SPECTRUM-OV-090_S1_CD45P_BOWEL	172	14	2355	7.3	FALSE
SPECTRUM-OV-054_S1_CD45P_ASCITES	136	9.7	1931	7	FALSE
SPECTRUM-OV-053_S1_CD45P_INFRACOLIC_OMENTUM	174	13	2598	6.7	TRUE
SPECTRUM-OV-053_S1_CD45P_LEFT_OVARY	328	16	4999	6.6	FALSE
SPECTRUM-OV-071_S1_CD45P_PELVIC_PERITONEAL_TUMOUR	232	12	3541	6.6	FALSE
SPECTRUM-OV-041_S1_CD45P_RIGHT_FALLOPIAN_TUBE	391	10	5998	6.5	FALSE
SPECTRUM-OV-053_S1_CD45P_RIGHT_OVARY	113	14	1743	6.5	FALSE
SPECTRUM-OV-081_S1_CD45P_RIGHT_ADNEXA	153	12	2342	6.5	FALSE
SPECTRUM-OV-024_S1_CD45P_INFRACOLIC_OMENTUM	237	8.7	3690	6.4	TRUE
SPECTRUM-OV-026_S1_CD45P_BOWEL	303	23	4703	6.4	TRUE
SPECTRUM-OV-115_S1_CD45P_INFRACOLIC_OMENTUM	240	12	3751	6.4	FALSE
SPECTRUM-OV-077_S1_CD45P_ASCITES	296	8	4677	6.3	FALSE
SPECTRUM-OV-014_S1_CD45P_BOWEL	239	9	3883	6.2	FALSE
SPECTRUM-OV-036_S1_CD45P_INFRACOLIC_OMENTUM	214	8	3536	6.1	TRUE
SPECTRUM-OV-036_S1_CD45P_RIGHT_ADNEXA	264	9.2	4322	6.1	TRUE
SPECTRUM-OV-036_S1_CD45P_LEFT_ADNEXA	309	8.2	5372	5.8	FALSE
SPECTRUM-OV-077_S1_CD45P_INFRACOLIC_OMENTUM	210	15	3635	5.8	FALSE
SPECTRUM-OV-083_S1_CD45P_INFRACOLIC_OMENTUM	224	13	3881	5.8	FALSE
SPECTRUM-OV-014_S1_CD45P_LEFT_OVARY	191	7.8	3377	5.7	FALSE
SPECTRUM-OV-053_S1_CD45P_RIGHT_DIAPHRAGM	233	13	4273	5.5	FALSE
SPECTRUM-OV-115_S1_CD45P_PELVIC_PERITONEUM	241	11	4382	5.5	FALSE
SPECTRUM-OV-049_S1_CD45P_INFRACOLIC_OMENTUM	218	11	4063	5.4	TRUE
SPECTRUM-OV-009_S1_CD45P_BOWEL	217	14	4073	5.3	TRUE
SPECTRUM-OV-014_S1_CD45P_PELVIC_PERITONEUM	232	7.2	4398	5.3	FALSE
SPECTRUM-OV-115_S1_CD45P_RIGHT_ADNEXA	222	11	4172	5.3	FALSE
SPECTRUM-OV-014_S1_CD45P_ASCITES	189	6.8	3688	5.1	FALSE
SPECTRUM-OV-116_S1_CD45P_RIGHT_ADNEXA	111	11	2166	5.1	FALSE
SPECTRUM-OV-014_S1_CD45P_RIGHT_UPPER_QUADRANT	59	8.5	1172	5	TRUE
SPECTRUM-OV-031_S1_CD45P_INFRARENAL_LYMPH_NODE	25	11	496	5	FALSE
SPECTRUM-OV-054_S1_CD45P_INFRACOLIC_OMENTUM	118	8.6	2378	5	FALSE
SPECTRUM-OV-068_S1_CD45P_LARGE_BOWEL	96	9.5	1926	5	FALSE
SPECTRUM-OV-082_S1_CD45P_BOWEL	205	24	4061	5	FALSE
SPECTRUM-OV-115_S1_CD45P_LEFT_ADNEXA	266	11	5304	5	FALSE
SPECTRUM-OV-003_S1_UNSORTED_LEFT_UPPER_QUADRANT	98	11	2000	4.9	FALSE
SPECTRUM-OV-075_S1_CD45P_LEFT_FALLOPIAN_TUBE	135	10	2778	4.9	FALSE
SPECTRUM-OV-081_S1_CD45P_INFRACOLIC_OMENTUM	131	9.7	2659	4.9	FALSE
SPECTRUM-OV-008_S1_CD45P_INFRACOLIC_OMENTUM	202	6	4180	4.8	TRUE
SPECTRUM-OV-024_S1_CD45P_ASCITES	216	8.1	4518	4.8	FALSE
SPECTRUM-OV-037_S1_CD45P_ASCITES	163	6.4	3430	4.8	FALSE
SPECTRUM-OV-042_S1_CD45P_INFRACOLIC_OMENTUM	148	7.4	3088	4.8	FALSE
SPECTRUM-OV-050_S1_CD45P_RIGHT_OVARY	173	13	3615	4.8	TRUE
SPECTRUM-OV-025_S1_CD45P_INFRACOLIC_OMENTUM	112	18	2360	4.7	TRUE
SPECTRUM-OV-041_S1_CD45P_ASCITES	222	10	4781	4.6	FALSE
SPECTRUM-OV-082_S1_CD45P_RIGHT_ADNEXA	206	33	4544	4.5	FALSE
SPECTRUM-OV-105_S1_CD45P_INFRACOLIC_OMENTUM	162	11	3718	4.4	FALSE
SPECTRUM-OV-116_S1_CD45P_ASCITES	196	5.3	4445	4.4	FALSE
SPECTRUM-OV-116_S1_CD45P_RIGHT_PARACOLIC_GUTTER	185	10	4249	4.4	FALSE
SPECTRUM-OV-025_S1_CD45P_RIGHT_OVARY	117	21	2739	4.3	FALSE
SPECTRUM-OV-009_S1_CD45P_INFRACOLIC_OMENTUM	211	17	5024	4.2	FALSE
SPECTRUM-OV-024_S1_CD45P_PELVIC_PERITONEUM	181	6.5	4356	4.2	TRUE
SPECTRUM-OV-045_S1_CD45P_PELVIC_IMPLANT	271	11	6398	4.2	FALSE
SPECTRUM-OV-082_S1_CD45P_LEFT_ADNEXA	201	28	4810	4.2	FALSE
SPECTRUM-OV-090_S1_CD45P_INFRACOLIC_OMENTUM	132	9.3	3176	4.2	FALSE
SPECTRUM-OV-003_S1_UNSORTED_RIGHT_UPPER_QUADRANT	70	14	1701	4.1	FALSE
SPECTRUM-OV-042_S1_CD45P_PELVIC_PERITONEUM	136	5.9	3335	4.1	TRUE
SPECTRUM-OV-075_S1_CD45P_INFRACOLIC_OMENTUM	98	12	2479	4	FALSE
SPECTRUM-OV-116_S1_CD45P_INFRACOLIC_OMENTUM	157	7.4	3943	4	FALSE
SPECTRUM-OV-050_S1_CD45P_ASCITES	161	6.4	4106	3.9	FALSE
SPECTRUM-OV-065_S1_CD45P_ASCITES	99	4.6	2515	3.9	FALSE
SPECTRUM-OV-031_S1_CD45P_LEFT_FALLOPIAN_TUBE	89	9.9	2370	3.8	FALSE
SPECTRUM-OV-036_S1_CD45P_PELVIC_PERITONEUM	53	5.3	1403	3.8	TRUE
SPECTRUM-OV-082_S1_CD45P_INFRACOLIC_OMENTUM	68	27	1778	3.8	FALSE
SPECTRUM-OV-107_S1_CD45P_BOWEL	114	11	3024	3.8	FALSE
SPECTRUM-OV-068_S1_CD45P_INFRACOLIC_OMENTUM	83	8.8	2234	3.7	FALSE
SPECTRUM-OV-022_S1_CD45P_BOWEL	110	10	3042	3.6	FALSE
SPECTRUM-OV-026_S1_CD45P_ASCITES	109	4.7	3040	3.6	FALSE
SPECTRUM-OV-065_S1_CD45P_INFRACOLIC_OMENTUM	126	5.4	3537	3.6	FALSE
SPECTRUM-OV-009_S1_CD45P_RIGHT_UPPER_QUADRANT	126	12	3659	3.4	TRUE
SPECTRUM-OV-024_S1_CD45P_LEFT_UPPER_QUADRANT	128	8	3799	3.4	FALSE
SPECTRUM-OV-049_S1_CD45P_RIGHT_ADNEXA	97	13	2893	3.4	FALSE
SPECTRUM-OV-042_S1_CD45P_RIGHT_DIAPHRAGM	102	5	3163	3.2	FALSE
SPECTRUM-OV-077_S1_CD45P_LEFT_OVARY	93	7.2	2934	3.2	FALSE
SPECTRUM-OV-107_S1_CD45P_ASCITES	76	4.8	2399	3.2	FALSE
SPECTRUM-OV-112_S1_CD45P_LEFT_ADNEXA	128	12	4050	3.2	FALSE
SPECTRUM-OV-022_S1_CD45P_LEFT_ADNEXA	188	11	6111	3.1	FALSE
SPECTRUM-OV-037_S1_CD45P_INFRACOLIC_OMENTUM	119	5.7	3962	3	TRUE
SPECTRUM-OV-042_S1_CD45P_ASCITES	97	5.6	3259	3	FALSE
SPECTRUM-OV-075_S1_CD45P_RIGHT_ADNEXA	88	5.8	2973	3	FALSE
SPECTRUM-OV-003_S1_UNSORTED_INFRACOLIC_OMENTUM	63	6.4	2260	2.8	FALSE
SPECTRUM-OV-080_S1_CD45P_INFRACOLIC_OMENTUM	103	6.3	3741	2.8	FALSE
SPECTRUM-OV-107_S1_CD45P_INFRACOLIC_OMENTUM	96	12	3382	2.8	FALSE
SPECTRUM-OV-009_S1_CD45P_PELVIC_PERITONEUM	122	12	4496	2.7	TRUE
SPECTRUM-OV-052_S1_CD45P_LEFT_ADNEXA	122	16	4581	2.7	FALSE
SPECTRUM-OV-080_S1_CD45P_ASCITES	83	4.5	3208	2.6	FALSE
SPECTRUM-OV-107_S1_CD45P_RIGHT_ADNEXA	84	10	3370	2.5	FALSE
SPECTRUM-OV-003_S1_UNSORTED_PELVIC_PERITONEUM	90	6	3809	2.4	FALSE
SPECTRUM-OV-009_S1_CD45P_RIGHT_OVARY	116	12	4885	2.4	TRUE
SPECTRUM-OV-105_S1_CD45P_RIGHT_UPPER_QUADRANT	47	5.3	2123	2.2	FALSE
SPECTRUM-OV-003_S1_UNSORTED_RIGHT_ADNEXA	30	12	1408	2.1	FALSE
SPECTRUM-OV-118_S1_CD45P_RIGHT_ADNEXA	109	8.1	5545	2	FALSE
SPECTRUM-OV-009_S1_CD45P_LEFT_OVARY	77	8.4	4177	1.8	TRUE
SPECTRUM-OV-037_S1_CD45P_LUQ_OMENTUM	72	4.4	4088	1.8	FALSE
SPECTRUM-OV-070_S1_CD45P_HEPATIC_SURFACE	75	7.7	4275	1.8	FALSE
SPECTRUM-OV-118_S1_CD45P_PELVIC_PERITONEUM	76	9.1	4237	1.8	FALSE
SPECTRUM-OV-009_S1_CD45P_ASCITES	12	2.3	713	1.7	FALSE
SPECTRUM-OV-022_S1_CD45P_RIGHT_ADNEXA	62	8	3887	1.6	TRUE
SPECTRUM-OV-052_S1_CD45P_INFRACOLIC_OMENTUM	73	17	4470	1.6	TRUE
SPECTRUM-OV-112_S1_CD45P_ASCITES	55	3.8	3365	1.6	FALSE
SPECTRUM-OV-051_S1_CD45P_ASCITES	37	6.6	2510	1.5	FALSE
SPECTRUM-OV-105_S1_CD45P_ASCITES	27	4.3	1802	1.5	FALSE
SPECTRUM-OV-025_S1_CD45P_BOWEL	34	18	2498	1.4	TRUE
SPECTRUM-OV-070_S1_CD45P_ASCITES	40	2.6	2778	1.4	FALSE
SPECTRUM-OV-118_S1_CD45P_LEFT_ADNEXA	63	6.6	4600	1.4	FALSE
SPECTRUM-OV-080_S1_CD45P_LEFT_ADNEXA	6	1.7	458	1.3	FALSE
SPECTRUM-OV-022_S1_CD45P_ASCITES	55	3	4728	1.2	FALSE
SPECTRUM-OV-037_S1_CD45P_LEFT_OVARY	51	2.9	4346	1.2	TRUE
SPECTRUM-OV-009_S1_CD45P_LEFT_UPPER_QUADRANT	39	5.6	3675	1.1	TRUE
SPECTRUM-OV-080_S1_CD45P_PELVIC_PERITONEUM	48	3.4	4182	1.1	FALSE
SPECTRUM-OV-050_S1_CD45P_LEFT_OVARY	39	8.8	3899	1	TRUE
SPECTRUM-OV-071_S1_CD45P_RIGHT_OVARY	11	13	1113	0.99	FALSE
SPECTRUM-OV-003_S1_UNSORTED_LEFT_ADNEXA	21	6.1	2398	0.88	FALSE
SPECTRUM-OV-054_S1_CD45P_RIGHT_OVARY	8	5.3	958	0.84	FALSE
SPECTRUM-OV-065_S1_CD45P_RIGHT_OVARY	11	6.4	1331	0.83	FALSE
SPECTRUM-OV-070_S1_CD45P_PELVIS	24	7.5	3364	0.71	FALSE
SPECTRUM-OV-051_S1_CD45P_LEFT_ADNEXA	14	5.6	2059	0.68	FALSE
SPECTRUM-OV-075_S1_CD45P_ASCITES	10	2	1548	0.65	FALSE
SPECTRUM-OV-112_S1_CD45P_PELVIC_PERITONEUM	7	6.9	1172	0.6	FALSE
SPECTRUM-OV-083_S1_CD45P_ASCITES	16	3.4	4326	0.37	FALSE
SPECTRUM-OV-070_S1_CD45P_INFRACOLIC_OMENTUM	8	3	2641	0.3	FALSE
SPECTRUM-OV-105_S1_CD45P_BLADDER	3	3.4	1471	0.2	FALSE
SPECTRUM-OV-050_S1_CD45P_INFRACOLIC_OMENTUM	4	19	2316	0.17	TRUE
SPECTRUM-OV-083_S1_CD45P_LEFT_ADNEXA	5	1.4	3096	0.16	FALSE
SPECTRUM-OV-081_S1_CD45P_ASCITES	0	0	1106	0	FALSE
